r1_CdtB	integrase	A	29158	30322
r1_RHS	integrase	A	49506	50670
r1_RHS	integrase	B	7199	8223
r1_RHS	toxin	RHS	28297	32659
r1_RHS	toxin	RHS	27639	32664
r1_RHS	toxin	RHS	28297	32659
r1_CdtB	toxin	CdtB	12034	13012
r1_CdtB	toxin	CdtB	12034	13012
r3_RHS	integrase	A	25865	27029
r3_CdtB	integrase	B	37480	38504
r3_RHS	toxin	RHS	4570	8932
r3_RHS	toxin	RHS	4565	9590
r3_RHS	toxin	RHS	4570	8932
r3_CdtB	toxin	CdtB	20412	21390
r3_CdtB	toxin	CdtB	20412	21390
r4_RHS	integrase	A	15780	16944
r4_CdtB	integrase	B	21873	22897
r4_RHS	toxin	RHS	33877	38239
r4_RHS	toxin	RHS	33219	38244
r4_RHS	toxin	RHS	33877	38239
r4_CdtB	toxin	CdtB	369	1347
r4_CdtB	toxin	CdtB	369	1347
r5_RHS	integrase	A	17631	18795
r5_CdtB	integrase	B	34197	35221
r5_RHS	toxin	RHS	35642	39306
r5_RHS	toxin	RHS	0	698
r5_RHS	toxin	RHS	35637	39306
r5_RHS	toxin	RHS	0	1356
r5_RHS	toxin	RHS	35642	39306
r5_RHS	toxin	RHS	0	698
r5_CdtB	toxin	CdtB	12693	13671
r5_CdtB	toxin	CdtB	12693	13671
r2b_RHS	toxin	RHS	25709	30071
r2b_RHS	toxin	RHS	25051	30076
r2b_RHS	toxin	RHS	25709	30071
r2b_CdtB	toxin	CdtB	21904	22882
r2b_CdtB	toxin	CdtB	21904	22882
r2b_RHS	toxin	RHS	25709	30071
r2b_RHS	toxin	RHS	25051	30076
r2b_RHS	toxin	RHS	25709	30071
r2b_CdtB	toxin	CdtB	21904	22882
r2b_CdtB	toxin	CdtB	21904	22882
r2b_RHS	integrase	A	7612	8776
r2b_CdtB	integrase	B	4105	5129
