contig_1	0	487
contig_1	1	608
contig_1	2	749
contig_1	3	868
contig_1	4	980
contig_1	5	1030
contig_1	6	1044
contig_1	7	993
contig_1	8	921
contig_1	9	842
contig_1	10	684
contig_3	0	1635
contig_3	1	1740
contig_3	2	1514
contig_3	3	1281
contig_3	4	1141
contig_3	5	946
contig_3	6	711
contig_3	7	579
contig_4	0	2475
contig_4	1	2496
contig_4	2	2536
contig_4	3	2521
contig_4	4	2517
contig_4	5	2472
contig_4	6	2404
contig_4	7	2317
contig_4	8	2224
contig_4	9	2027
contig_4	10	1911
contig_4	11	1882
contig_4	12	1871
contig_4	13	1874
contig_4	14	1905
contig_4	15	1967
contig_4	16	1974
contig_4	17	1866
contig_5	0	639
contig_5	1	652
contig_5	2	664
contig_5	3	692
contig_5	4	704
contig_5	5	735
contig_5	6	772
contig_5	7	802
contig_5	8	827
contig_5	9	822
contig_5	10	891
contig_5	11	966
contig_5	12	1169
contig_5	13	2908
contig_5	14	3071
contig_5	15	3153
contig_5	16	3280
contig_5	17	3369
contig_5	18	3410
contig_5	19	3401
contig_5	20	3404
contig_5	21	3054
contig_5	22	3273
contig_5	23	2924
contig_5	24	2282
contig_5	25	1796
contig_5	26	1704
contig_5	27	1402
contig_5	28	263
contig_5	29	374
contig_5	30	508
contig_5	31	617
contig_5	32	732
contig_5	33	2340
contig_5	34	3520
contig_5	35	3638
contig_5	36	3650
contig_5	37	3643
contig_5	38	3679
contig_6	0	654
contig_6	1	681
contig_6	2	688
contig_6	3	683
contig_6	4	658
contig_6	5	617
contig_6	6	564
contig_6	7	519
contig_6	8	445
contig_6	9	318
contig_6	10	223
contig_6	11	154
contig_6	12	84
contig_6	13	26
